id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayConference,awayClassification,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401282714,2021,1,regular,2021-08-28 17:20:00+00:00,False,True,False,True,41064.0,3832.0,"Memorial Stadium (Champaign, IL)",356,Illinois,Big Ten,fbs,30,"[2, 14, 14, 0]",0.4056606386617034,1392.0,1411.0,158,Nebraska,Big Ten,fbs,22,"[0, 9, 7, 6]",0.5943393613382966,1503.0,1484.0,5.4859812562,,
401286187,2021,1,regular,2021-08-28 18:00:00+00:00,False,True,False,False,26043.0,3660.0,Valley Children's Stadium,278,Fresno State,Mountain West,fbs,45,"[7, 24, 7, 7]",0.9989676192140482,1465.0,1566.0,41,UConn,FBS Independents,fbs,0,"[0, 0, 0, 0]",0.001032380785951803,1223.0,1122.0,1.5355562765,,
401329133,2021,1,regular,2021-08-28 19:00:00+00:00,False,True,True,True,,3861.0,Ohio Stadium,2119,Central State (OH),SIAC,ii,6,"[0, 0, 0, 6]",,,,2310,Kentucky State,SIAC,ii,20,"[6, 7, 0, 7]",,,,,,
401309833,2021,1,regular,2021-08-28 19:30:00+00:00,False,True,False,False,32982.0,1056.0,Rose Bowl,26,UCLA,Pac-12,fbs,44,"[24, 7, 13, 0]",0.998923796291393,1517.0,1605.0,62,Hawai'i,Mountain West,fbs,10,"[3, 0, 7, 0]",0.0010762037086069487,1466.0,1378.0,1.3911846797,,
401328337,2021,1,regular,2021-08-28 22:00:00+00:00,False,True,False,False,,3829.0,Memorial Stadium,282,Indiana State,MVFC,fcs,26,"[7, 3, 7, 9]",,,,2197,Eastern Illinois,OVC,fcs,21,"[0, 7, 7, 7]",,,,,,
401327539,2021,1,regular,2021-08-28 23:00:00+00:00,False,True,True,False,,4246.0,Center Parc Stadium,2428,North Carolina Central,MEAC,fcs,23,"[0, 7, 6, 10]",,,,2016,Alcorn State,SWAC,fcs,14,"[7, 0, 7, 0]",,,,,,Cricket MEAC/SWAC Challenge
401282049,2021,1,regular,2021-08-29 01:30:00+00:00,False,True,False,False,19034.0,3601.0,Aggie Memorial Stadium,166,New Mexico State,FBS Independents,fbs,3,"[0, 3, 0, 0]",0.0003672266073629033,1261.0,1182.0,2638,UTEP,Conference USA,fbs,30,"[17, 3, 10, 0]",0.9996327733926371,1222.0,1301.0,1.7024199439,,
401310693,2021,1,regular,2021-08-29 02:00:00+00:00,False,True,False,False,16204.0,3935.0,CEFCU Stadium,23,San José State,Mountain West,fbs,45,"[21, 17, 7, 0]",0.9989556844495414,,,253,Southern Utah,Big Sky,fcs,14,"[0, 14, 0, 0]",0.0010443155504585855,,,1.2255180894,,
401282050,2021,1,regular,2021-09-01 23:30:00+00:00,False,True,True,False,9122.0,3689.0,Cramton Bowl,55,Jacksonville State,AWC,fcs,0,"[0, 0, 0, 0]",0.0003023172538635826,,,5,UAB,Conference USA,fbs,31,"[0, 10, 14, 7]",0.9996976827461365,,,2.1316123178,,Montgomery Kickoff
401328989,2021,1,regular,2021-09-02 22:00:00+00:00,False,True,False,False,,3600.0,Tom Adams Field,131,Wayne State (MI),GLIAC,ii,21,"[6, 8, 7, 0]",,,,215,Slippery Rock,Pennsylvania State Athletic,ii,24,"[7, 3, 14, 0]",,,,,,
401328215,2021,1,regular,2021-09-02 22:00:00+00:00,False,True,False,False,,5781.0,Irwin Belk Stadium,351,Wingate,South Atlantic,ii,30,"[14, 7, 3, 6]",,,,2551,Shaw,CIAA,ii,7,"[0, 0, 0, 7]",,,,,,
401328204,2021,1,regular,2021-09-02 22:00:00+00:00,False,True,False,True,,3788.0,Kenneth P. LaValle Stadium,2619,Stony Brook,CAA,fcs,21,"[0, 0, 14, 7]",,,,160,New Hampshire,CAA,fcs,27,"[6, 14, 7, 0]",,,,,,
401309540,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,13149.0,3919.0,Scheumann Stadium,2050,Ball State,Mid-American,fbs,31,"[7, 0, 14, 10]",0.9215833962326455,,,2710,Western Illinois,MVFC,fcs,21,"[0, 7, 7, 7]",0.07841660376735449,,,2.0262390412,,
401309542,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,17521.0,3965.0,UB Stadium,2084,Buffalo,Mid-American,fbs,69,"[14, 24, 21, 10]",0.9983755574946217,,,2681,Wagner,NEC,fcs,7,"[0, 0, 0, 7]",0.0016244425053782985,,,1.0306190592,,
401357797,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,,4417.0,Five Star Stadium at the Moye Complex,2382,Mercer,Southern,fcs,69,"[14, 28, 14, 13]",,,,3179,Point University,,,0,"[0, 0, 0, 0]",,,,,,
401328458,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,,3925.0,Seibert Stadium,2535,Samford,Southern,fcs,52,"[14, 3, 21, 14]",,,,2635,Tennessee Tech,OVC,fcs,14,"[0, 7, 7, 0]",,,,,,
401328545,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,16236.0,3654.0,Brooks Stadium (SC),324,Coastal Carolina,Sun Belt,fbs,52,"[7, 24, 14, 7]",0.9989646936333476,,,2643,The Citadel,Southern,fcs,14,"[0, 0, 7, 7]",0.0010353063666523887,,,1.189259394,,
401328388,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,,844.0,Stambaugh Stadium,2754,Youngstown State,MVFC,fcs,44,"[14, 10, 7, 10, 3]",,,,2916,Incarnate Word,Southland,fcs,41,"[7, 14, 13, 7, 0]",,,,,,
401328175,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,True,,3607.0,Alfond Stadium,311,Maine,CAA,fcs,24,"[0, 24, 0, 0]",,,,48,Delaware,CAA,fcs,34,"[7, 10, 10, 7]",,,,,,
401300995,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,43928.0,3652.0,FBC Mortgage Stadium,2116,UCF,American Athletic,fbs,36,"[0, 14, 14, 8]",0.9342124591737911,1648.0,1651.0,68,Boise State,Mountain West,fbs,31,"[14, 10, 0, 7]",0.06578754082620886,1602.0,1599.0,10.2014008911,,
401332315,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,,3701.0,Drake Stadium,2181,Drake,Pioneer,fcs,45,"[21, 14, 10, 0]",,,,455,West Virginia Wesleyan,Mountain East,ii,3,"[0, 0, 0, 3]",,,,,,
401329357,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,,3870.0,Panther Stadium (OH),2477,Ohio Dominican,Great Midwest Athletic,ii,30,"[7, 3, 10, 10]",,,,2974,Shepherd,Pennsylvania State Athletic,ii,35,"[7, 7, 7, 14]",,,,,,
401329270,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,,3859.0,Offutt Field,611,Seton Hill,Pennsylvania State Athletic,ii,16,"[0, 6, 10, 0]",,,,112335,Wheeling,Mountain East,ii,14,"[0, 7, 7, 0]",,,,,,
401329056,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,,3663.0,Burke-Tarr Stadium,2105,Carson-Newman College,South Atlantic,ii,7,"[7, 0, 0, 0]",,,,2698,West Georgia,Gulf South,ii,45,"[14, 14, 10, 7]",,,,,,
401329020,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,,6053.0,Robinson-Hale Stadium,2401,Mississippi College,Gulf South,ii,0,"[0, 0, 0, 0]",,,,2013,Albany State GA,SIAC,ii,24,"[7, 7, 3, 7]",,,,,,
401329015,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,,5935.0,Parker Field at McCool Stadium,2170,Delta State,Gulf South,ii,48,[],,,,2064,Bethel University Tennessee,,,14,[],,,,,,
401328973,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,,3747.0,Hantz Stadium,2886,Northwood (MI),GLIAC,ii,21,"[3, 3, 0, 15, 0]",,,,367,Gannon,Pennsylvania State Athletic,ii,28,"[7, 0, 7, 7, 7]",,,,,,
