id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayConference,awayClassification,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401550193,2023,1,regular,2023-08-31 22:00:00+00:00,False,True,False,False,,6112.0,Richard Wackar Stadium,2827,Rowan,New Jersey,iii,17.0,"[10, 7, 0, 0]",,,,471,Stevenson,Mid Atlantic,iii,20.0,"[0, 14, 3, 3]",,,,,,
401545860,2023,1,regular,2023-08-31 22:00:00+00:00,False,True,False,False,,4421.0,Multi-Sport Performance Stadium,2017,Alderson-Broaddus,Mountain East,ii,0.0,[],,,,2858,PennWest California,Pennsylvania State Athletic,ii,0.0,[],,,,,,
401541838,2023,1,regular,2023-08-31 22:00:00+00:00,False,True,False,False,,7075.0,Electric Supply Company Field,122666,Wilson,South Atlantic,ii,41.0,"[14, 10, 10, 7]",,,,2804,Chowan,Gulf South,ii,0.0,"[0, 0, 0, 0]",,,,,,
401549697,2023,1,regular,2023-08-31 22:00:00+00:00,False,True,True,False,,7505.0,Keiser Multi-Purpose Field,126110,Keiser University,,,14.0,"[0, 7, 7, 0]",,,,2401,Mississippi College,Gulf South,ii,17.0,"[7, 0, 7, 3]",,,,,,
401540802,2023,1,regular,2023-08-31 22:00:00+00:00,False,True,False,False,,3885.0,Harvey Randall Wickes Memorial Stadium,129,Saginaw Valley State,GLIAC,ii,34.0,"[10, 17, 7, 0]",,,,2851,Winona State,Northern Sun,ii,24.0,"[0, 7, 10, 7]",,,,,,
401544917,2023,1,regular,2023-08-31 22:00:00+00:00,False,True,False,False,,5781.0,Irwin Belk Stadium,351,Wingate,South Atlantic,ii,30.0,"[14, 3, 13, 0]",,,,2013,Albany State GA,SIAC,ii,7.0,"[0, 0, 0, 7]",,,,,,
401540990,2023,1,regular,2023-08-31 22:00:00+00:00,False,True,False,False,,6060.0,Grace P. Johnson Stadium,2882,UNC Pembroke,Mountain East,ii,19.0,"[3, 3, 7, 6]",,,,2220,Fayetteville State,CIAA,ii,17.0,"[7, 0, 3, 7]",,,,,,
401541012,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,5121.0,University of Charleston Stadium,2128,University Of Charleston (WV),Mountain East,ii,22.0,"[0, 3, 6, 13]",,,,367,Gannon,Pennsylvania State Athletic,ii,13.0,"[0, 0, 6, 7]",,,,,,
401541001,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,5943.0,Duvall-Rosier Field,2986,Fairmont State,Mountain East,ii,34.0,"[0, 14, 10, 10]",,,,2071,Bloomsburg,Pennsylvania State Athletic,ii,30.0,"[7, 3, 0, 20]",,,,,,
401540794,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,6051.0,James S. Malosky Stadium,134,Minnesota Duluth,Northern Sun,ii,47.0,"[20, 14, 13, 0]",,,,128,Northern Michigan,GLIAC,ii,10.0,"[0, 10, 0, 0]",,,,,,
401540775,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,4763.0,Ranger Field,2823,Northwestern Oklahoma State,Great American,ii,24.0,"[14, 0, 10, 0]",,,,2028,Arkansas-Monticello,Great American,ii,49.0,"[10, 17, 8, 14]",,,,,,
401545847,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,6052.0,Herb Parker Stadium,568,Minot State,Northern Sun,ii,23.0,"[7, 10, 0, 6]",,,,2587,Southwest Minnesota State,Northern Sun,ii,28.0,"[0, 7, 7, 14]",,,,,,
401540728,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,3609.0,Allgood-Bailey Stadium,2402,Missouri S&T,Great Lakes,ii,20.0,"[6, 0, 0, 14]",,,,2170,Delta State,Gulf South,ii,48.0,"[7, 10, 21, 10]",,,,,,
401545869,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,3808.0,Lincoln University Stadium,2339,Lincoln (PA),CIAA,ii,20.0,[],,,,2134,Clarion,Pennsylvania State Athletic,ii,30.0,[],,,,,,
401525816,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,44088.0,3652.0,FBC Mortgage Stadium,2116,UCF,Big 12,fbs,56.0,"[14, 14, 14, 14]",0.9989059988666029,1534.0,1668.0,2309,Kent State,Mid-American,fbs,6.0,"[3, 0, 3, 0]",0.0010940011333970823,1396.0,1262.0,1.3468100629,,
401525461,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,30028.0,3630.0,Allegacy Federal Credit Union Stadium,154,Wake Forest,ACC,fbs,37.0,"[10, 14, 6, 7]",0.9883751085572094,1608.0,1608.0,2210,Elon,CAA,fcs,17.0,"[0, 0, 14, 3]",0.011624891442790553,,,3.4579971028,,
401532393,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,19432.0,3980.0,Waldo Stadium,2711,Western Michigan,Mid-American,fbs,35.0,"[7, 14, 7, 7]",0.979419588239194,1367.0,1367.0,2598,St. Francis (PA),NEC,fcs,17.0,"[0, 10, 7, 0]",0.02058041176080605,,,4.6293850587,,
401541751,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,3934.0,Southern Nazarene University Football Stadium,200,Southern Nazarene,Great American,ii,20.0,"[0, 0, 6, 14]",,,,2264,Harding University,Great American,ii,53.0,"[14, 21, 11, 7]",,,,,,
401541033,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,3663.0,Burke-Tarr Stadium,2105,Carson-Newman College,South Atlantic,ii,35.0,"[7, 7, 14, 7]",,,,2355,Virginia University Of Lynchburg,,,3.0,"[0, 3, 0, 0]",,,,,,
